txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16209.0,16538.0,38621.0,16186.0,16611.0,38277.0,15967.0,16551.0,38047.0,15530.0,16681.0,39098.0,16110.0,16508.0,38181.0,16051.0,16356.0,37582.0,15924.0,16379.0,37516.0,15686.0,16480.0,37773.0,16291.0,16279.0,37845.0,16105.0,16304.0,37856.0,15857.0,16292.0,37279.0,15726.0,16269.0,37926.0,16239.0,16203.0,38610.0,16025.0,16314.0,38060.0,15897.0,16190.0,37753.0,15723.0,16377.0,38573.0
16210.0,16538.0,38616.0,16187.0,16610.0,38280.0,15966.0,16550.0,38044.0,15528.0,16681.0,39100.0,16109.0,16508.0,38172.0,16049.0,16358.0,37585.0,15923.0,16379.0,37518.0,15687.0,16480.0,37776.0,16291.0,16280.0,37848.0,16105.0,16304.0,37858.0,15854.0,16293.0,37285.0,15726.0,16271.0,37925.0,16238.0,16203.0,38613.0,16026.0,16313.0,38059.0,15897.0,16188.0,37746.0,15723.0,16377.0,38572.0
16210.0,16536.0,38616.0,16186.0,16609.0,38281.0,15966.0,16553.0,38042.0,15529.0,16681.0,39100.0,16110.0,16508.0,38179.0,16049.0,16355.0,37579.0,15923.0,16379.0,37518.0,15687.0,16480.0,37776.0,16291.0,16278.0,37845.0,16105.0,16305.0,37864.0,15855.0,16293.0,37286.0,15727.0,16270.0,37927.0,16238.0,16201.0,38609.0,16025.0,16313.0,38058.0,15897.0,16188.0,37746.0,15723.0,16377.0,38572.0
16210.0,16536.0,38616.0,16186.0,16609.0,38281.0,15968.0,16550.0,38048.0,15528.0,16680.0,39097.0,16107.0,16508.0,38177.0,16051.0,16356.0,37579.0,15924.0,16382.0,37516.0,15688.0,16480.0,37779.0,16291.0,16278.0,37845.0,16105.0,16305.0,37864.0,15855.0,16293.0,37286.0,15727.0,16269.0,37921.0,16238.0,16204.0,38602.0,16024.0,16312.0,38068.0,15895.0,16190.0,37750.0,15722.0,16377.0,38570.0
16211.0,16539.0,38621.0,16187.0,16611.0,38282.0,15968.0,16551.0,38050.0,15528.0,16679.0,39097.0,16111.0,16507.0,38181.0,16051.0,16356.0,37582.0,15926.0,16380.0,37517.0,15689.0,16481.0,37774.0,16290.0,16278.0,37847.0,16105.0,16304.0,37856.0,15856.0,16293.0,37282.0,15724.0,16269.0,37921.0,16237.0,16202.0,38608.0,16026.0,16313.0,38062.0,15897.0,16189.0,37745.0,15724.0,16377.0,38570.0
16211.0,16539.0,38621.0,16188.0,16612.0,38280.0,15969.0,16552.0,38050.0,15530.0,16680.0,39103.0,16111.0,16507.0,38181.0,16051.0,16356.0,37582.0,15926.0,16380.0,37517.0,15689.0,16481.0,37774.0,16290.0,16278.0,37847.0,16104.0,16304.0,37862.0,15856.0,16294.0,37283.0,15725.0,16271.0,37915.0,16237.0,16202.0,38610.0,16026.0,16313.0,38062.0,15897.0,16189.0,37745.0,15724.0,16377.0,38570.0
16213.0,16537.0,38628.0,16191.0,16609.0,38284.0,15969.0,16551.0,38049.0,15533.0,16680.0,39102.0,16110.0,16508.0,38185.0,16052.0,16355.0,37587.0,15925.0,16379.0,37521.0,15689.0,16478.0,37774.0,16291.0,16279.0,37857.0,16106.0,16304.0,37861.0,15857.0,16294.0,37284.0,15726.0,16271.0,37924.0,16236.0,16202.0,38610.0,16025.0,16312.0,38066.0,15896.0,16190.0,37747.0,15722.0,16376.0,38569.0
16213.0,16535.0,38622.0,16188.0,16610.0,38287.0,15971.0,16554.0,38053.0,15534.0,16681.0,39098.0,16112.0,16506.0,38187.0,16054.0,16354.0,37585.0,15927.0,16379.0,37516.0,15690.0,16482.0,37770.0,16291.0,16279.0,37857.0,16104.0,16302.0,37866.0,15856.0,16294.0,37282.0,15725.0,16273.0,37921.0,16237.0,16200.0,38618.0,16024.0,16314.0,38062.0,15897.0,16189.0,37747.0,15723.0,16379.0,38569.0
16210.0,16535.0,38613.0,16188.0,16609.0,38281.0,15969.0,16553.0,38048.0,15532.0,16684.0,39104.0,16111.0,16504.0,38184.0,16052.0,16356.0,37586.0,15924.0,16381.0,37518.0,15688.0,16483.0,37780.0,16286.0,16277.0,37839.0,16102.0,16303.0,37854.0,15853.0,16295.0,37279.0,15723.0,16272.0,37925.0,16233.0,16199.0,38615.0,16022.0,16312.0,38055.0,15895.0,16191.0,37742.0,15716.0,16378.0,38568.0
16210.0,16535.0,38613.0,16187.0,16610.0,38278.0,15968.0,16552.0,38045.0,15527.0,16683.0,39102.0,16108.0,16505.0,38170.0,16051.0,16356.0,37577.0,15924.0,16380.0,37519.0,15688.0,16483.0,37780.0,16286.0,16277.0,37839.0,16101.0,16304.0,37858.0,15853.0,16294.0,37277.0,15721.0,16272.0,37925.0,16232.0,16200.0,38603.0,16021.0,16314.0,38052.0,15893.0,16189.0,37746.0,15716.0,16378.0,38568.0
